-1.20193	1.43723	0
0	1	0
0.586639	1.13749	0
0.762158	1.17828	0
0.851681	1.199	0
0.922257	1.21527	0
0.981869	1.22895	0
1.03303	1.24064	0
1.08041	1.25142	0
1.12438	1.26139	0
1.16761	1.27114	0
1.20113	1.27867	0
1.2683	1.2937	0
1.29483	1.29961	0
1.32005	1.3052	0
1.34415	1.31052	0
1.36728	1.31561	0
1.38957	1.32048	0
1.4111	1.32517	0
1.43196	1.3297	0
1.45223	1.33408	0
1.47197	1.33832	0
1.49122	1.34244	0
1.51006	1.34646	0
1.52847	1.35036	0
1.54652	1.35417	0
1.56423	1.3579	0
1.58162	1.36154	0
1.59873	1.3651	0
1.61558	1.36859	0
1.63217	1.37202	0
1.64853	1.37538	0
1.66468	1.37868	0
1.68062	1.38192	0
1.69629	1.3851	0
1.71176	1.38821	0
1.72712	1.39129	0
1.7423	1.39433	0
1.75732	1.39731	0
1.77219	1.40025	0
1.7869	1.40314	0
1.80144	1.40599	0
1.81579	1.40879	0
1.82981	1.41151	0
1.84427	1.4143	0
1.85569	1.41649	0
1.86987	1.4192	0
1.88398	1.42188	0
1.89802	1.42454	0
1.91199	1.42717	0
1.92589	1.42977	0
1.93973	1.43235	0
1.95351	1.4349	0
1.96723	1.43743	0
1.98091	1.43994	0
1.99453	1.44242	0
2.00811	1.44489	0
2.02164	1.44733	0
2.03513	1.44975	0
2.04858	1.45216	0
2.06199	1.45454	0
2.07537	1.45691	0
2.08871	1.45925	0
2.10202	1.46158	0
2.1153	1.46389	0
2.12856	1.46618	0
2.14178	1.46846	0
2.15499	1.47072	0
2.16817	1.47296	0
2.18132	1.47518	0
2.19446	1.47739	0
2.20758	1.47959	0
2.22068	1.48177	0
2.23377	1.48393	0
2.24684	1.48608	0
2.25989	1.48822	0
2.27293	1.49034	0
2.28597	1.49244	0
2.29899	1.49453	0
2.312	1.49661	0
2.325	1.49868	0
2.338	1.50073	0
2.35099	1.50277	0
2.36397	1.50479	0
2.37695	1.5068	0
2.38992	1.5088	0
2.4029	1.51079	0
2.41586	1.51276	0
2.42883	1.51472	0
2.4418	1.51667	0
2.45477	1.51861	0
2.46774	1.52053	0
2.4807	1.52245	0
2.49368	1.52435	0
2.50665	1.52623	0
2.51963	1.52811	0
2.53261	1.52998	0
2.54559	1.53183	0
2.55859	1.53367	0
2.57158	1.5355	0
2.58459	1.53732	0
2.5976	1.53913	0
2.61062	1.54093	0
2.62364	1.54272	0
2.63668	1.54449	0
2.64972	1.54626	0
2.66278	1.54801	0
2.67584	1.54975	0
2.68891	1.55148	0
2.702	1.55321	0
2.7151	1.55492	0
2.72821	1.55661	0
2.74133	1.5583	0
2.75446	1.55998	0
2.76761	1.56165	0
2.78077	1.56331	0
2.79395	1.56495	0
2.80714	1.56659	0
2.82034	1.56821	0
2.83356	1.56983	0
2.8468	1.57143	0
2.86005	1.57303	0
2.87332	1.57461	0
2.88661	1.57618	0
2.89991	1.57775	0
2.91323	1.5793	0
2.92657	1.58084	0
2.93993	1.58237	0
2.9533	1.58389	0
2.9667	1.58541	0
2.98011	1.58691	0
2.99355	1.5884	0
3.007	1.58988	0
3.02047	1.59135	0
3.03397	1.59281	0
3.04749	1.59426	0
3.06102	1.5957	0
3.07458	1.59712	0
3.08816	1.59854	0
3.10176	1.59995	0
3.11539	1.60135	0
3.12904	1.60273	0
3.14271	1.60411	0
3.1564	1.60548	0
3.17012	1.60683	0
3.18386	1.60818	0
3.19763	1.60951	0
3.21142	1.61084	0
3.22524	1.61215	0
3.23908	1.61346	0
3.25294	1.61475	0
3.26683	1.61603	0
3.28075	1.61731	0
3.29469	1.61857	0
3.30866	1.61982	0
3.32266	1.62106	0
3.33668	1.62229	0
3.35073	1.62351	0
3.36481	1.62472	0
3.37892	1.62591	0
3.39305	1.6271	0
3.40721	1.62828	0
3.4214	1.62944	0
3.43562	1.6306	0
3.44986	1.63174	0
3.46414	1.63287	0
3.47845	1.634	0
3.49278	1.63511	0
3.50715	1.63621	0
3.52154	1.6373	0
3.53597	1.63837	0
3.55042	1.63944	0
3.56491	1.6405	0
3.57943	1.64154	0
3.59398	1.64257	0
3.60856	1.6436	0
3.62317	1.64461	0
3.63781	1.64561	0
3.65249	1.64659	0
3.6672	1.64757	0
3.68194	1.64854	0
3.69671	1.64949	0
3.71152	1.65043	0
3.72636	1.65136	0
3.74123	1.65228	0
3.75614	1.65319	0
3.77108	1.65408	0
3.78606	1.65497	0
3.80107	1.65584	0
3.81611	1.6567	0
3.83119	1.65755	0
3.8463	1.65838	0
3.86145	1.65921	0
3.87664	1.66002	0
3.89186	1.66082	0
3.90711	1.66161	0
3.92241	1.66238	0
3.93774	1.66314	0
3.9531	1.66389	0
3.9685	1.66463	0
3.98394	1.66536	0
3.99942	1.66607	0
4.01493	1.66677	0
4.03048	1.66746	0
4.04607	1.66813	0
4.0617	1.6688	0
4.07736	1.66945	0
4.09307	1.67008	0
4.10881	1.67071	0
4.12459	1.67132	0
4.14041	1.67191	0
4.15627	1.6725	0
4.17217	1.67307	0
4.18811	1.67363	0
4.20409	1.67417	0
4.22011	1.6747	0
4.23617	1.67522	0
4.25227	1.67573	0
4.26841	1.67622	0
4.28459	1.67669	0
4.30082	1.67716	0
4.31708	1.67761	0
4.33339	1.67804	0
4.34974	1.67846	0
4.36613	1.67887	0
4.38256	1.67926	0
4.39903	1.67964	0
4.41555	1.68001	0
4.43211	1.68036	0
4.44872	1.6807	0
4.46537	1.68102	0
4.48206	1.68133	0
4.49879	1.68162	0
4.5156	1.6819	0
